Имя объекта	Тип объекта	Содержание	Коментарий
DSS_Server	Ip адрес	10.5.139.73	
mos-1c7-2k3	Ip адрес	10.5.139.80	
mos-1cterm-2k3	Ip адрес	10.5.168.31	
mos-hasp-8	Ip адрес	10.13.130.178	
mos-spectr	Ip адрес	10.5.139.70	
mos-scan-2k12	Ip адрес	10.13.131.56	
ws-sand	Ip адрес	10.13.132.53	
ws-chda	Ip адрес	10.5.169.80	
mos-rdsn13-2k12	Ip адрес	10.13.129.250	
mos-rdsn12-2k12	Ip адрес	10.13.130.167	
mos-rdsn14-2k12	Ip адрес	10.5.169.120	
mos-rdsn16-2k12	Ip адрес	10.13.129.216	
mos-rdsn15-2k12	Ip адрес	10.13.128.203	
ws-nna	Ip адрес	10.13.131.196	ws-nna
firepower	Ip адрес	10.13.137.11	
ws-msp	Ip адрес	10.13.131.236	
mos-vmost-deb	Ip адрес	10.13.131.218	
ZecurionDLP_Server	Ip адрес	10.5.139.74	ZecurionDLP_Server
ws-van	Ip адрес	10.13.129.152	10.13.129.152
mos-fsttst-alt	Ip адрес	10.13.128.94	mos-fsttst-alt
mos-fstweb-alt	Ip адрес	10.13.128.95	mos-fstweb-alt
mos-fstdb-alt	Ip адрес	10.13.128.96	mos-fstdb-alt
ws-kons	Ip адрес	10.5.169.174	ws-kons
bsic1561	Ip адрес	10.13.129.76	bsic1561 (Smyslov)
ws-mss	Ip адрес	10.13.132.186	
test-optimacros.gptrans.gazprom.ru	Ip адрес	10.13.129.198	
VPN	Протокол UDP	500; 4500	
Surgut_nets	Группа ip адресов	10.7.237.0 255.255.255.0	
Moscow_nets	Группа ip адресов	10.5.168.0 255.255.254.0;10.13.128.0 255.255.248.0	
Astrakhan_nets	Группа ip адресов	10.7.233.0 255.255.255.0	
Public_servers	Группа ip адресов	10.5.139.66;10.5.139.67	
Public_services	Протокол TCP	80;8080;25;110	
DMZ2	Группа ip адресов	10.5.139.64 255.255.255.224	
DMZ1	Группа ip адресов	10.5.139.32 255.255.255.224	
Mngmt_hosts	Группа ip адресов	10.5.168.115;ws-chda;Rancid_user	
Mngmt_services	Протокол TCP	22;443	
Moscow	Группа ip адресов	10.5.139.34;10.5.139.35;10.5.139.36;10.5.139.37	Moscow VPN gates
Servers_to_RZD	Группа ip адресов	VipNet1;
VipNet2	Gazpromtrans Servers using for RZD connections
RZD_Servers	Группа ip адресов	217.175.140.73;217.175.140.85;217.23.88.44;10.250.2.140;10.250.2.141	
Our_DNS_Servers	Группа ip адресов	10.5.168.220;10.5.169.213;10.5.168.17	
DNS_Servers_Gazsvyaz	Группа ip адресов	DNS1_Gazsvyaz;
DNS2_Gazsvyaz	DNS_Servera_Gazsvyaz
DNS	Протокол TCP	53	DNS-port
	Протокол UDP	53	DNS-port
MailServer_Gazsvyaz	Группа ip адресов	Mailhost;MailRelay;MailRelay2;Mailrelay3;Mailhost1;Mailhost2;Mailrelay4	
Our_MailServer	Группа ip адресов	Pechkin_SMTP_Server	
Bank_Client	Группа ip адресов	10.5.168.175;
10.5.168.90	
SAP_Client	Группа ip адресов	10.5.168.166;
10.5.169.185;
10.5.169.216;
10.5.168.253;
10.5.169.29;
10.5.168.233	
SAP_Servers	Группа ip адресов	10.241.1.40;
10.241.1.28;
10.241.1.58;
10.241.1.55	
Nalog_Ports	Протокол TCP	50025;
50110	
Nalog_Server	Ip адрес	213.24.62.225	
Nalog_Client	Группа ip адресов	GNIVC_Client	
Pryamoy_Dostup_Inet	Группа ip адресов	10.5.168.253;
10.5.169.89;
10.5.168.68	
Bank_Servers	Группа ip адресов	Gazprombank;
Transkreditbank	
Bank_services	Протокол TCP	443;
6217	
Etran_Clients	Группа ip адресов	10.5.168.162;
10.5.168.194;
10.5.168.217;
10.5.168.171;
10.5.168.232;
10.5.169.217;
10.5.169.181;
10.5.168.237;
10.5.168.42;
10.5.169.126;
10.5.169.64;
10.5.169.148;
10.5.169.109;
10.5.168.119;
SapeginskiyGF;
ChepurinMN;
GrunenkovAV;
KirillovAN;
KosunovNS;
NekrashevichNA;
PozdnyakovAA;
SheleninDY;
SmyslovAV;
StukanovVN;
TatarenkovDS;
YavlukhinSA;
ZolotukhinDV;
BaryshnikovAV;
FrolovaTV;
KarasevAA;
KharakterovaYI;
KhramtsovaMN;
KorabelnikovIV;
KostyukovaOA;
LapshinaEA;
LazarenkoAS;
LazukovaEA;
LosevaLE;
MuravievSA;
PashigorevaEV;
SakaevaIV;
SapeginskayaME;
SeltsovaEY;
