Имя объекта	Тип объекта	Содержание	Коментарий
DM_INLINE_SERVICE_16	Протокол IP/TCP/UDP	389; 3020	
spectr-admins	Группа IP адресов	ws-sand; 10.13.129.152; 10.5.169.80	
DM_INLINE_TCP_57	Протокол TCP	389; 636	
DM_INLINE_NETWORK_88	Группа IP адресов	AD; mos-scan-2k12	
DM_INLINE_TCP_59	Протокол TCP	7100; 7200	
DM_INLINE_NETWORK_89	Группа IP адресов	10.56.140.212; 10.56.140.213	
DM_INLINE_TCP_90	Протокол TCP	443; 22	
DM_INLINE_SERVICE_18	Протокол TCP/UDP	13000; 13291; 14000; 15000	
DM_INLINE_TCP_60	Протокол TCP	5900; 22	
DM_INLINE_SERVICE_19	Протокол TCP/UDP	13000; 13291; 14000; 15000	
DM_INLINE_NETWORK_90	Группа IP адресов	10.5.139.98; 10.5.139.99	
DM_INLINE_NETWORK_91	Группа IP адресов	10.5.139.98; 10.5.139.99	
DM_INLINE_NETWORK_92	Группа IP адресов	10.5.139.98; 10.5.139.99	
DM_INLINE_SERVICE_20	Протокол TCP/UDP	8888; 8888; 80; 443	
DM_INLINE_SERVICE_21	Протокол TCP/UDP	8888; 80; 443	
DM_INLINE_UDP_3	Протокол UDP	3389; 3391	
px1_out	Группа IP адресов	10.56.140.212; 10.56.140.213	
DM_INLINE_NETWORK_93	Группа IP адресов	Astrakhan_nets; Optimacros_users	
opp-clients	Группа IP адресов	TatarenkovDS; ws-nna; ws-mnal; ws-msp; ws-kons; bsic1561; ws-mss	
DM_INLINE_NETWORK_94	Группа IP адресов	10.13.129.152; opp-clients	
Filials_1C_BD	Группа IP адресов	10.7.233.4; 10.13.204.5; 10.13.204.6; 10.13.206.10; 10.13.206.11; 10.7.233.26; 10.7.233.27; 10.7.235.180; 10.7.235.181; 10.7.237.44; 10.7.237.71; 10.7.237.72; 10.7.65.18; 10.7.65.19; 10.7.66.115; 10.7.66.39; 10.7.235.243	47389413
DM_INLINE_NETWORK_96	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_99	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_95	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_97	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_98	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_100	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_101	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_102	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_NETWORK_103	Группа IP адресов	All_Filials; Amur_nets; 10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0	
DM_INLINE_TCP_61 	Протокол TCP	80; 443	
ZecurionDLP_Agents	Группа IP адресов	ws-sand; 10.13.131.103; 10.13.131.76; 10.5.169.93; 10.13.129.60; 10.13.129.152; 10.13.131.233; 10.13.131.9; 10.13.131.240; 10.13.131.69; 10.13.132.19; 10.13.128.35; 10.13.130.224; 10.13.132.206; 10.13.129.7; 10.5.169.15; 10.5.169.201; 10.13.131.185; 10.5.169.63; 10.5.169.226; 10.13.131.71; 10.13.129.217; 10.5.169.77; 10.5.169.104; 10.13.131.222; 10.5.168.181; 10.13.132.130; 10.5.168.190; 10.5.168.159; 10.5.169.80; 10.5.169.193; 10.13.130.79; 10.5.169.78; 10.13.132.86; 10.5.169.42; 10.13.130.148; 10.13.132.210; 10.13.132.214; 10.13.129.145; 10.13.131.53; 10.13.132.103; 10.13.130.192	ZecurionDLP_Agents
DM_INLINE_SERVICE_22	Протокол TCP/UDP	135; 389; 88; domain; 3268; 3269; netbios-ssn; netbios-dgm; netbios-ns; ntp; 445; 464; ldap	
DM_INLINE_NETWORK_107	Группа IP адресов	10.7.64.0 255.255.255.0; 10.7.67.0 255.255.255.0; All_Filials; Amur_nets	
DM_INLINE_NETWORK_106	Группа IP адресов	10.5.139.75; ZecurionDLP_Server	
ZecurionDLP_Admins	Группа IP адресов	ws-chda; ws-sand; ws-van; 10.13.131.103; 10.5.169.93	ZecurionDLP_Admins
DM_INLINE_TCP_65 	Протокол TCP	1291; 1292; 1294; 1295; 1297; 1298; 3389	
DM_INLINE_NETWORK_104	Группа IP адресов	ZecurionDLP_Admins; ZecurionDLP_Agents	
DM_INLINE_SERVICE_105	Протокол TCP/UDP	1433; 1434	
DM_INLINE_NETWORK_105	Группа IP адресов	10.5.139.98; ZecurionDLP_Server	
DM_INLINE_SERVICE_24	Протокол TCP/UDP	1270; 1302; 135; 137; 138; 445; 593; 249	
DM_INLINE_SERVICE_23	Протокол TCP/UDP	139; 135; 445; 137; 161; 15000	
DM_INLINE_TCP_62	Протокол TCP	1270; 1291	
DM_INLINE_NETWORK_108	Группа IP адресов	mos-fsttst-alt; mos-fstweb-alt	
Foresight	Группа IP адресов	mos-fstdb-alt; mos-fsttst-alt; mos-fstweb-alt	Foresight
DM_INLINE_TCP_108	Протокол TCP	80; 443	
DM_INLINE_SERVICE_25	Протокол TCP/UDP	53; 445; 88; 389; 389; 135	
SMB_Ports	Протокол TCP	445; 139	48359871
SMB_Ports_UDP	Протокол UDP	137; 138s	48359871
EDO_SKLAD_Users	Группа IP адресов	10.5.168.186; 10.13.130.194; 10.5.168.115; 10.5.168.153; 10.5.169.42	
PRAV_DOCS_FILIALS	Группа IP адресов	10.13.204.167; 10.14.88.65; 10.7.233.87; 10.7.235.226; 10.7.237.116; 10.7.237.14; 10.7.66.69	48359871
DM_INLINE_TCP_63	Протокол TCP	8081; 80; 443	
DM_INLINE_NETWORK_109	Группа IP адресов	10.13.131.127; test-optimacros.gptrans.gazprom.ru	
DM_INLINE_SERVICE_26	Протокол TCP/UDP	14080; 14180; 14080; 14180	
DM_INLINE_TCP_66	Протокол TCP	443; 22	
DM_INLINE_SERVICE_27	Протокол TCP/ICMP	25	
DM_INLINE_NETWORK_110	Группа IP адресов	10.7.233.233; 10.7.233.24	
DM_INLINE_TCP_67	Протокол TCP	389; 636	
IUS_BUIRG_Clients	Группа IP адресов	10.5.169.7; 10.13.128.151; 10.5.168.115; 10.5.168.47; 10.13.130.21; 10.13.128.46; 10.13.129.117; 10.13.140.70; 10.5.169.87	IUS_BUIRG_Clients
IUS_BUIRG_Servers	Группа IP адресов	10.241.1.28; 10.241.1.40; 10.56.195.21; 10.56.67.21; 10.56.67.22; 10.56.194.5; 10.56.194.6; 10.56.66.5; 10.56.66.6	IUS_BUIRG_Servers
